genero,año
action,2016
casual,2016
indie,2016
simulation,2015
strategy,2015
rpg,2016
2d,2016
difficult,2016
fantasy,2015
tactical,2016
turn-based,2015
multiplayer,2015
sports,2016
adventure,2016
fps,2015
shooter,2015
racing,2015
cute,2016
classic,2016
gore,2016
singleplayer,2016
atmospheric,2016
first-person,2015
funny,2015
retro,2016
sci-fi,2016
platformer,2016
comedy,2016
survival,2015
co-op,2015
war,2012
violent,2016
building,2015
sandbox,2015
puzzle,2016
horror,2016
arcade,2016
exploration,2016
zombies,2016
space,2015
dark,2015
anime,2016
movie,2015
rogue-like,2015
soundtrack,2016
rpgmaker,2016
utilities,2013
